Provinsi, Zina, Mabuk, Madat, Judi, Meninggalkan Salah satu Pihak, Dihukum Penjara, Poligami, Kekerasan Dalam Rumah Tangga, Cacat Badan, Perselisihan dan Pertengkaran Terus Menerus, Kawin Paksa, Murtad, Ekonomi, Lain-lain, Jumlah
Aceh,,8,12,25,669,68,25,102,12,4915,3,12,235,,6086
Sumatera Utara,1,12,15,121,1065,53,8,136,2,13709,,73,465,,15660
Sumatera Barat,4,1,2,3,859,34,10,19,4,6969,,18,113,,8036
Riau,7,8,25,23,797,80,9,71,6,7333,4,23,231,,8617
Jambi,4,8,13,22,324,31,10,49,5,3931,3,16,157,,4573
Sumatera Selatan,5,29,35,48,955,70,30,259,4,8311,4,50,574,,10374
Bengkulu,,9,1,16,272,24,2,43,2,3139,1,9,123,,3641
Lampung,8,72,8,81,667,26,15,167,8,10099,2,47,2838,,14038
Kepulauan Bangka Belitung,5,21,,32,180,19,6,62,1,1453,,8,452,,2239
Kepulauan Riau,1,3,2,4,384,40,8,13,1,2658,,17,170,,3301
DKI Jakarta,14,42,25,57,1970,34,43,178,4,9464,6,92,2452,,14381
Jawa Barat,28,125,28,209,3418,214,138,442,18,48812,22,309,37383,,91146
Jawa Tengah,39,136,20,143,7378,99,40,235,37,36618,38,174,23176,,68133
DI Yogyakarta,4,25,3,7,547,8,7,58,3,3921,,21,583,,5187
Jawa Timur,579,404,38,415,5986,173,132,1636,54,35940,163,156,33572,,79248
Banten,4,56,13,109,592,24,19,224,4,9671,8,82,3327,,14133
Bali,3,5,1,2,87,4,1,15,,886,1,26,34,,1065
Nusa Tenggara Barat,4,50,5,15,1189,12,29,240,4,4997,,23,198,,6766
Nusa Tenggara Timur,3,2,,3,112,,,19,,320,1,3,8,,471
Kalimantan Barat,6,35,18,33,649,32,28,86,7,3750,,23,312,,4979
Kalimantan Tengah,2,37,5,9,495,32,18,35,8,2310,7,11,178,,3147
Kalimantan Selatan,4,55,15,18,346,106,31,77,5,5517,10,23,330,,6537
Kalimantan Timur,7,61,41,55,962,101,33,137,3,4708,8,28,766,,6910
Kalimantan Utara,1,,,,95,15,1,3,1,850,1,1,9,,977
Sulawesi Utara,2,34,1,4,279,5,1,57,,1296,2,61,76,,1818
Sulawesi Tengah,9,71,18,20,421,9,10,101,3,2820,3,18,78,,3581
Sulawesi Selatan,22,194,28,60,1771,21,61,333,7,9856,21,33,399,,12806
Sulawesi Tenggara,2,74,4,17,547,16,10,170,3,2748,2,23,57,,3673
Gorontalo,7,90,3,1,388,6,3,62,,1452,1,9,40,,2062
Sulawesi Barat,4,13,2,5,335,4,1,39,1,712,2,,33,,1151
Maluku,,14,1,,101,2,4,29,1,632,,1,8,,793
Maluku Utara,1,13,1,1,247,3,3,28,,857,,4,10,,1168
Papua Barat,,27,,7,75,1,,22,,285,1,7,69,,494
Papua,,18,1,7,160,5,2,27,1,889,,14,32,,1156
Indonesia,780,1752,384,1572,34322,1371,738,5174,209,251828,314,1415,108488,,408347
